area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft,total_sqft_num,bhk
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1693,3.0,2.0,98.63,5826.0,1693.0,3.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,3122,6.0,2.0,256.6,8219.0,3122.0,4.0
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1000,2.0,1.0,40.81,4081.0,1000.0,2.0
Built-up  Area,Ready To Move,Kogilu,2 BHK,952,2.0,2.0,40.98,4305.0,952.0,2.0
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2050,4.0,,258.4,12605.0,2050.0,3.0
Super built-up  Area,Ready To Move,Kengeri,1 BHK,1200,1.0,1.0,69.1,5758.0,1200.0,1.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1410,2.0,2.0,68.39,4850.0,1410.0,3.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,1400,2.0,2.0,127.46,9104.0,1400.0,2.0
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,3056,5.0,,139.6,4568.0,3056.0,4.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1826,3.0,2.0,104.61,5729.0,1826.0,3.0
Super built-up  Area,18-Jun,Hosur Road,3 BHK,1689,3.0,2.0,142.86,8458.0,1689.0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,42.76,3978.0,1075.0,3.0
Super built-up  Area,Ready To Move,Bannerghatta Road,5 BHK,2500,4.0,,251.02,10041.0,2500.0,5.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,960,2.0,1.0,76.35,7953.0,960.0,2.0
Built-up  Area,Ready To Move,Channasandra,2 BHK,808,2.0,1.0,29.04,3594.0,808.0,2.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,907,2.0,2.0,41.25,4548.0,907.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1300,2.0,2.0,51.99,3999.0,1300.0,2.0
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,1804,3.0,2.0,172.82,9580.0,1804.0,3.0
Super built-up  Area,Ready To Move,Naidu Layout,3 BHK,1350,3.0,2.0,77.29,5725.0,1350.0,3.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1836,3.0,2.0,172.88,9416.0,1836.0,3.0
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,826,2.0,2.0,35.12,4252.0,826.0,2.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1200,2.0,3.0,58.7,4892.0,1200.0,2.0
Super built-up  Area,18-Dec,1st Block Koramangala,4 BHK,3000,3.0,3.0,293.16,9772.0,3000.0,4.0
Plot  Area,Ready To Move,Indira Nagar,4 Bedroom,2400,4.0,2.0,302.69,12612.0,2400.0,4.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1460,2.0,,95.6,6548.0,1460.0,2.0
Plot  Area,Ready To Move,Hoskote,4 Bedroom,1200,4.0,3.0,47.32,3943.0,1200.0,4.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,965,2.0,2.0,59.59,6175.0,965.0,2.0
Carpet  Area,Ready To Move,Kothannur,4 Bedroom,2000,4.0,2.0,81.02,4051.0,2000.0,4.0
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,1395,2.0,2.0,75.15,5387.0,1395.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1660,3.0,2.0,93.36,5624.0,1660.0,3.0
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,935,2.0,2.0,33.55,3588.0,935.0,2.0
Super built-up  Area,Ready To Move,Hongasandra,2 BHK,1180,2.0,1.0,50.79,4304.0,1180.0,2.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1090,2.0,1.0,65.39,5999.0,1090.0,2.0
Super built-up  Area,19-Jan,Kanakpura Road,2 BHK,1204,2.0,1.0,59.33,4928.0,1204.0,2.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4.0,2.0,157.08,7581.0,2072.0,3.0
Built-up  Area,Ready To Move,Haralur Road,2 BHK,1056,2.0,1.0,98.52,9330.0,1056.0,2.0
Super built-up  Area,18-Dec,Hebbal,2 BHK,985,2.0,2.0,103.38,10495.0,985.0,2.0
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,1315,2.0,2.0,47.1,3582.0,1315.0,3.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,734,2.0,1.0,49.34,6722.0,734.0,2.0
Built-up  Area,Ready To Move,Kammanahalli,4 Bedroom,2900,4.0,2.0,212.6,7331.0,2900.0,4.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,2317,4.0,3.0,191.59,8269.0,2317.0,3.0
Built-up  Area,Ready To Move,Singasandra,1 Bedroom,600,1.0,0.0,29.2,4867.0,600.0,1.0
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,2200,3.0,0.0,122.65,5575.0,2200.0,4.0
Super built-up  Area,Ready To Move,Attibele,2 BHK,656,2.0,1.0,37.0,5640.0,656.0,2.0
Built-up  Area,Ready To Move,Attibele,1 BHK,400,1.0,1.0,22.04,5509.0,400.0,1.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,666,1.0,1.0,35.14,5276.0,666.0,1.0
Plot  Area,Ready To Move,Kadubeesanahalli,4 Bedroom,3293,5.0,2.0,362.13,10997.0,3293.0,4.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1174,2.0,1.0,80.01,6815.0,1174.0,2.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2.0,2.0,58.57,5080.0,1153.0,2.0
Built-up  Area,Ready To Move,Narayanapura,5 BHK,2400,5.0,2.0,143.74,5989.0,2400.0,5.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,957,2.0,1.0,83.21,8695.0,957.0,2.0
Built-up  Area,Ready To Move,Banashankari Stage III,2 BHK,910,2.0,2.0,42.88,4712.0,910.0,2.0
Built-up  Area,17-Dec,Sarjapur  Road,2 BHK,1060,2.0,1.0,61.45,5797.0,1060.0,2.0
Super built-up  Area,18-Jul,Banashankari,2 BHK,1000,2.0,1.0,84.33,8433.0,1000.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,94.47,5126.0,1843.0,3.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1150,2.0,2.0,55.67,4841.0,1150.0,3.0
Super built-up  Area,18-Sep,Chandapura,3 BHK,1230,2.0,2.0,72.79,5918.0,1230.0,3.0
Super built-up  Area,Ready To Move,Kodihalli,4 BHK,3197,5.0,2.0,353.72,11064.0,3197.0,4.0
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,1703,3.0,2.0,85.95,5047.0,1703.0,3.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1125,2.0,1.0,57.48,5109.0,1125.0,2.0
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,1516,3.0,3.0,79.59,5250.0,1516.0,3.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1130,2.0,2.0,114.66,10147.0,1130.0,2.0
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,3596,5.0,1.0,279.66,7777.0,3596.0,4.0
Super built-up  Area,19-Jun,Hosa Road,3 BHK,1512,3.0,2.0,76.48,5058.0,1512.0,3.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,1491,3.0,1.0,119.82,8036.0,1491.0,3.0
Super built-up  Area,Ready To Move,Cox Town,2 BHK,1250,2.0,2.0,93.15,7452.0,1250.0,2.0
Super built-up  Area,18-Aug,Banashankari,3 BHK,1650,3.0,2.0,142.96,8664.0,1650.0,3.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2.0,1.0,45.81,4018.0,1140.0,2.0
Plot  Area,Ready To Move,Behind Don Bosco Church,4 Bedroom,1200,4.0,1.0,116.74,9728.0,1200.0,4.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1881,3.0,,151.4,8049.0,1881.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,53.34,4849.0,1100.0,3.0
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,2666,4.0,1.0,211.97,7951.0,2666.0,3.0
Super built-up  Area,Ready To Move,Bagalur,2 BHK,1500,2.0,1.0,83.01,5534.0,1500.0,2.0
Super built-up  Area,18-Dec,Seshadripuram,2 BHK,1217,2.0,1.0,144.65,11886.0,1217.0,2.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1197,2.0,1.0,110.64,9243.0,1197.0,2.0
Built-up  Area,Ready To Move,BHEL Layout,6 Bedroom,2400,4.0,1.0,269.38,11224.0,2400.0,6.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,1345,3.0,2.0,60.79,4520.0,1345.0,3.0
Plot  Area,Ready To Move,KR Puram,4 Bedroom,1200,4.0,2.0,87.14,7262.0,1200.0,4.0
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,3230,5.0,0.0,306.33,9484.0,3230.0,4.0
Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,1260,2.0,1.0,146.34,11614.0,1260.0,3.0
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,2750,5.0,1.0,170.78,6210.0,2750.0,4.0
Plot  Area,Ready To Move,9th Phase JP Nagar,2 Bedroom,1200,2.0,0.0,59.06,4922.0,1200.0,2.0
Built-up  Area,Ready To Move,Devara Jeevanahalli,3 Bedroom,1650,3.0,0.0,53.43,3238.0,1650.0,3.0
Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,600,1.0,0.0,44.35,7392.0,600.0,1.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1025,2.0,1.0,41.91,4089.0,1025.0,2.0
Super built-up  Area,18-Dec,Sarjapur,4 BHK,1925 - 2680,,,221.16,9605.0,2302.5,4.0
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,973,2.0,1.0,57.09,5867.0,973.0,2.0
Super built-up  Area,19-Dec,Thanisandra main road,4 BHK,4110,4.0,2.0,601.17,14627.0,4110.0,4.0
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,2533,3.0,3.0,367.23,14498.0,2533.0,3.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,1007,2.0,1.0,62.08,6165.0,1007.0,2.0
Super built-up  Area,19-Mar,Hosa Road,1 BHK,615 - 985,1.0,0.0,36.42,4552.0,800.0,1.0
Built-up  Area,18-Dec,Sarjapur  Road,3 Bedroom,1830,3.0,1.0,111.5,6093.0,1830.0,3.0
Super built-up  Area,Ready To Move,Nagavara,2 BHK,1077,2.0,1.0,50.02,4644.0,1077.0,2.0
Plot  Area,Ready To Move,Immadihalli,1 Bedroom,672,1.0,1.0,34.41,5120.0,672.0,1.0
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,1280,3.0,0.0,83.64,6534.0,1280.0,3.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,865,2.0,0.0,41.57,4806.0,865.0,2.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1000,2.0,2.0,49.41,4941.0,1000.0,2.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1285,2.0,2.0,61.74,4805.0,1285.0,2.0
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,662,1.0,1.0,51.17,7729.0,662.0,1.0
Plot  Area,Ready To Move,Whitefield,5 Bedroom,2297,5.0,2.0,227.98,9925.0,2297.0,5.0
Plot  Area,Ready To Move,Sarjapura - Attibele Road,5 Bedroom,3750,6.0,3.0,143.18,3818.0,3750.0,5.0
Super built-up  Area,Ready To Move,Kalkere,3 BHK,1850,3.0,3.0,93.24,5040.0,1850.0,3.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1754,3.0,2.0,160.37,9143.0,1754.0,3.0
Plot  Area,Ready To Move,1st Phase JP Nagar,5 Bedroom,2200,7.0,2.0,196.77,8944.0,2200.0,5.0
Super built-up  Area,Ready To Move,Anugrah Layout,3 BHK,1567,3.0,1.0,82.1,5239.0,1567.0,3.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1695,3.0,3.0,60.04,3542.0,1695.0,3.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1150,2.0,1.0,119.92,10428.0,1150.0,2.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1690,3.0,2.0,135.39,8011.0,1690.0,3.0
Built-up  Area,18-Mar,1st Block Koramangala,3 BHK,2350,3.0,2.0,227.97,9701.0,2350.0,3.0
Super built-up  Area,Ready To Move,Karuna Nagar,2 BHK,1057,2.0,1.0,79.89,7558.0,1057.0,2.0
Super built-up  Area,19-Dec,Hebbal,2 BHK,1320,2.0,1.0,128.75,9754.0,1320.0,2.0
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,2119,4.0,3.0,126.72,5980.0,2119.0,4.0
Super built-up  Area,Ready To Move,Bandepalya,2 BHK,1125,2.0,1.0,48.1,4276.0,1125.0,2.0
Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,2254,3.0,2.0,117.7,5222.0,2254.0,3.0
Super built-up  Area,20-Jan,Balagere,1 BHK,645,1.0,1.0,38.22,5925.0,645.0,1.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2.0,2.0,53.11,5058.0,1050.0,2.0
Super built-up  Area,18-May,Panathur,2 BHK,1040,2.0,1.0,103.48,9950.0,1040.0,2.0
Super built-up  Area,18-Jun,Sarjapur  Road,3 BHK,1700,3.0,1.0,99.36,5845.0,1700.0,3.0
Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1760,3.0,,233.8,13284.0,1760.0,3.0
Super built-up  Area,19-Mar,Bellandur,3 BHK,1138,3.0,2.0,115.09,10113.0,1138.0,3.0
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,984,2.0,1.0,57.33,5826.0,984.0,2.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2.0,2.0,48.83,4283.0,1140.0,2.0
Super built-up  Area,19-Dec,Whitefield,3 BHK,3596,3.0,1.0,322.74,8975.0,3596.0,3.0
Super built-up  Area,Ready To Move,Kalkere,3 BHK,1365,3.0,2.0,69.66,5103.0,1365.0,3.0
Super built-up  Area,Ready To Move,Bethel Nagar,1 BHK,560,1.0,0.0,18.68,3336.0,560.0,1.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2.0,1.0,71.37,5083.0,1404.0,2.0
Super built-up  Area,Ready To Move,Bellandur,4 BHK,1540,4.0,3.0,165.12,10722.0,1540.0,4.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,1050,2.0,1.0,64.54,6147.0,1050.0,3.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1550,3.0,3.0,79.03,5099.0,1550.0,3.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1653,3.0,3.0,135.96,8225.0,1653.0,3.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,1194,2.0,2.0,46.88,3926.0,1194.0,2.0
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,1471,2.0,3.0,70.92,4821.0,1471.0,3.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,35.15,5021.0,700.0,2.0
Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,812,2.0,1.0,63.7,7845.0,812.0,2.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1504,2.0,2.0,73.26,4871.0,1504.0,3.0
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1450,3.0,2.0,67.16,4632.0,1450.0,3.0
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2.0,2.0,54.75,5721.0,957.0,2.0
Carpet  Area,Ready To Move,Attibele,1 BHK,460,1.0,1.0,24.17,5255.0,460.0,1.0
Plot  Area,Ready To Move,poornaprajna layout,2 Bedroom,900,2.0,0.0,135.84,15093.0,900.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2.0,1.0,67.23,6403.0,1050.0,2.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,1820,3.0,2.0,94.82,5210.0,1820.0,3.0
Super built-up  Area,19-Dec,Varthur Road,2 BHK,1033,2.0,2.0,43.75,4235.0,1033.0,2.0
Plot  Area,Ready To Move,Kumaraswami Layout,2 Bedroom,800,1.0,1.0,45.4,5675.0,800.0,2.0
Plot  Area,Ready To Move,Kadabagere,1 Bedroom,520,2.0,0.0,20.61,3963.0,520.0,1.0
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1165,2.0,2.0,75.14,6450.0,1165.0,2.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1280,2.0,1.0,54.55,4262.0,1280.0,2.0
Built-up  Area,Ready To Move,Cambridge Layout,3 BHK,1950,3.0,3.0,228.62,11724.0,1950.0,3.0
Plot  Area,Ready To Move,BTM 4th Stage,1 Bedroom,600,1.0,0.0,36.64,6106.0,600.0,1.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,80.07,5166.0,1550.0,3.0
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,1392,2.0,1.0,101.18,7269.0,1392.0,2.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,1221,3.0,3.0,66.59,5454.0,1221.0,3.0
Super built-up  Area,Ready To Move,AMS Layout,1 BHK,1000,1.0,1.0,53.04,5304.0,1000.0,1.0
Built-up  Area,Ready To Move,KR Garden,2 BHK,1300,2.0,2.0,89.62,6894.0,1300.0,2.0
Built-up  Area,Ready To Move,Hoskote,2 BHK,1065,2.0,3.0,35.93,3374.0,1065.0,2.0
Built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1209,2.0,3.0,62.43,5164.0,1209.0,3.0
Plot  Area,Ready To Move,BTM 1st Stage,1 Bedroom,375,1.0,0.0,40.82,10885.0,375.0,1.0
Plot  Area,Ready To Move,Dollars Colony,3 Bedroom,7800,3.0,2.0,877.81,11254.0,7800.0,3.0
Super built-up  Area,19-Mar,Sarjapur  Road,3 BHK,1929,4.0,1.0,118.27,6131.0,1929.0,3.0
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1255,2.0,1.0,75.25,5996.0,1255.0,2.0
Super built-up  Area,19-Dec,Jalahalli,2 BHK,1035,2.0,1.0,67.09,6482.0,1035.0,2.0
Plot  Area,Ready To Move,Annapurneshwari Nagar,4 Bedroom,1200,5.0,2.0,193.43,16119.0,1200.0,4.0
Super built-up  Area,18-May,Banashankari,3 BHK,1650,3.0,2.0,141.14,8554.0,1650.0,3.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,1275,2.0,3.0,122.31,9593.0,1275.0,3.0
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2.0,1.0,64.7,5736.0,1128.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2.0,2.0,49.19,4315.0,1140.0,2.0
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,1200,4.0,2.0,78.05,6504.0,1200.0,4.0
Super built-up  Area,21-Nov,Thanisandra,2 BHK,1183,2.0,2.0,92.0,7777.0,1183.0,2.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1155,2.0,1.0,105.87,9166.0,1155.0,2.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1245,2.0,2.0,78.35,6293.0,1245.0,3.0
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1000,2.0,1.0,82.2,8220.0,1000.0,2.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2.0,1.0,69.78,6710.0,1040.0,2.0
Super built-up  Area,Ready To Move,Ardendale,4 BHK,2062,3.0,,124.26,6026.0,2062.0,4.0
Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,1477,2.0,2.0,82.45,5582.0,1477.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1525,2.0,2.0,89.41,5863.0,1525.0,3.0
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1220,2.0,1.0,68.6,5623.0,1220.0,2.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,2388,3.0,1.0,247.52,10365.0,2388.0,3.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1355,2.0,1.0,83.36,6152.0,1355.0,2.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1141,2.0,1.0,97.68,8561.0,1141.0,2.0
Super built-up  Area,21-Jun,Vijayanagar,2 BHK,1046,2.0,0.0,93.77,8965.0,1046.0,2.0
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,630,1.0,2.0,52.72,8369.0,630.0,1.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,1247,2.0,2.0,62.87,5042.0,1247.0,2.0
Built-up  Area,Ready To Move,Marathahalli,4 BHK,3855,4.0,3.0,386.16,10017.0,3855.0,4.0
Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,850,2.0,1.0,32.37,3808.0,850.0,2.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1120,2.0,2.0,78.7,7027.0,1120.0,2.0
Super built-up  Area,18-Aug,Jakkur,3 BHK,1798,3.0,1.0,118.4,6585.0,1798.0,3.0
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,2.0,1.0,44.11,3738.0,1180.0,3.0
Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,1000,2.0,1.0,32.55,3255.0,1000.0,2.0
Super built-up  Area,19-Mar,Whitefield,2 BHK,1216,2.0,1.0,110.63,9098.0,1216.0,2.0
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,900,2.0,0.0,44.51,4946.0,900.0,2.0
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1100,2.0,0.0,58.73,5339.0,1100.0,2.0
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,1842,3.0,2.0,124.06,6735.0,1842.0,3.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,44.13,4105.0,1075.0,3.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495,3.0,3.0,137.42,9192.0,1495.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1700,3.0,3.0,89.88,5287.0,1700.0,3.0
Super built-up  Area,20-Dec,Whitefield,3 BHK,1564,3.0,1.0,145.95,9332.0,1564.0,3.0
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,2 BHK,1256,2.0,1.0,64.36,5124.0,1256.0,2.0
Super built-up  Area,18-Jun,Kundalahalli,2 BHK,1047,2.0,1.0,77.21,7374.0,1047.0,2.0
Super built-up  Area,18-Apr,Bhoganhalli,3 BHK,1458,3.0,1.0,81.09,5562.0,1458.0,3.0
Super built-up  Area,19-Dec,Hoodi,2 BHK,1063,2.0,1.0,93.85,8829.0,1063.0,2.0
Super built-up  Area,Ready To Move,Sadashiva Nagar,4 BHK,7400,5.0,,1455.36,19667.0,7400.0,4.0
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,1150,2.0,1.0,55.2,4800.0,1150.0,2.0
Built-up  Area,Ready To Move,Chandapura,1 BHK,450,1.0,1.0,27.28,6062.0,450.0,1.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1360,2.0,0.0,64.7,4757.0,1360.0,2.0
Built-up  Area,Ready To Move,Marathahalli,3 BHK,1605,3.0,2.0,144.56,9007.0,1605.0,3.0
Carpet  Area,Ready To Move,Nagarbhavi,3 BHK,1200,4.0,2.0,110.18,9182.0,1200.0,3.0
Super built-up  Area,18-Aug,Haralur Road,3 BHK,1810,3.0,2.0,180.04,9947.0,1810.0,3.0
Super built-up  Area,18-Aug,LB Shastri Nagar,2 BHK,1250,2.0,2.0,66.1,5288.0,1250.0,2.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1475,2.0,2.0,59.03,4002.0,1475.0,3.0
Built-up  Area,Ready To Move,R.T. Nagar,2 Bedroom,1100,3.0,0.0,72.73,6612.0,1100.0,2.0
Super built-up  Area,18-Dec,Dommasandra,2 BHK,850,2.0,1.0,25.08,2950.0,850.0,2.0
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1025,2.0,1.0,31.02,3026.0,1025.0,2.0
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,980,2.0,1.0,40.82,4165.0,980.0,2.0
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,1428,2.0,1.0,74.9,5245.0,1428.0,3.0
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,1130,2.0,,150.02,13276.0,1130.0,2.0
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,1592,3.0,,78.6,4937.0,1592.0,3.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,2050,3.0,3.0,191.2,9327.0,2050.0,3.0
Super built-up  Area,Ready To Move,Bagalur,2 BHK,1407,2.0,1.0,84.22,5986.0,1407.0,2.0
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,4170,3.0,2.0,815.03,19545.0,4170.0,3.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1585,3.0,1.0,146.69,9255.0,1585.0,3.0
Built-up  Area,Ready To Move,Jakkur,3 BHK,1785,3.0,2.0,119.81,6712.0,1785.0,3.0
Built-up  Area,Ready To Move,BSM Extension,2 BHK,900,2.0,3.0,38.64,4293.0,900.0,2.0
Plot  Area,Ready To Move,Somanna Garden,4 Bedroom,1350,4.0,2.0,182.36,13508.0,1350.0,4.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,92.85,5038.0,1843.0,3.0
Super built-up  Area,Ready To Move,Munivenkatppa Layout,4 BHK,2375,3.0,,249.87,10521.0,2375.0,4.0
Super built-up  Area,Ready To Move,RPC layout,2 BHK,1200,2.0,1.0,73.19,6099.0,1200.0,2.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1113,2.0,1.0,85.85,7713.0,1113.0,2.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1125,2.0,1.0,44.73,3976.0,1125.0,2.0
Plot  Area,18-Jul,Whitefield,3 Bedroom,1200,3.0,1.0,111.05,9254.0,1200.0,3.0
Super built-up  Area,Ready To Move,Anekal,3 BHK,1150,3.0,2.0,54.97,4780.0,1150.0,3.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,770,1.0,1.0,42.89,5570.0,770.0,2.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,1181,2.0,2.0,55.38,4689.0,1181.0,2.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,78.88,5089.0,1550.0,3.0
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1200,2.0,,104.8,8733.0,1200.0,2.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,2.0,61.27,4731.0,1295.0,2.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1506,3.0,1.0,103.51,6873.0,1506.0,3.0
Built-up  Area,Ready To Move,"HSR Layout 7th sector, ",3 BHK,1872,3.0,2.0,157.06,8390.0,1872.0,3.0
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,2900,4.0,2.0,168.4,5807.0,2900.0,4.0
Super built-up  Area,18-Jun,Abbigere,3 BHK,1326,2.0,1.0,53.69,4049.0,1326.0,3.0
