area_type,availability,location,size,total_sqft,bath,balcony,price,avg_price_per_sqft
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1223,2.0,2.0,42.81,13998
Super built-up  Area,18-Jun,KR Puram,3 BHK,1430,2.0,1.0,61.0,7556
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,3589,5.0,0.0,400.0,10265
Super built-up  Area,18-Aug,Electronic City Phase II,3 BHK,1310,2.0,2.0,37.83,11270
Plot  Area,Ready To Move,Channasandra,4 Bedroom,1800,4.0,1.0,300.0,8142
Plot  Area,18-May,Giri Nagar,4 Bedroom,1120,4.0,2.0,175.0,13474
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,984,2.0,1.0,55.0,5899
Built-up  Area,Ready To Move,Jalahalli,3 BHK,1770,3.0,3.0,100.0,8218
Plot  Area,Ready To Move,Immadihalli,2 Bedroom,900,3.0,1.0,105.0,9387
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,1350,5.0,1.0,120.0,10439
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,1447,2.0,1.0,75.97,9393
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,1140,2.0,1.0,60.0,8555
Super built-up  Area,18-Jul,Bommanahalli,2 BHK,1170,2.0,3.0,34.0,11513
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,1160,2.0,2.0,46.39,10665
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,1296,2.0,1.0,89.0,13998
Built-up  Area,Ready To Move,Kempapura,3 BHK,1570,3.0,2.0,80.0,11509
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,1495,2.0,2.0,65.0,10457
Super built-up  Area,Ready To Move,Hoodi,3 BHK,1530,2.0,2.0,67.0,4659
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,900,4.0,0.0,140.0,8426
Super built-up  Area,Ready To Move,Gunjur,3 BHK,1800,3.0,1.0,70.0,6612
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1088,2.0,2.0,48.0,10396
Super built-up  Area,19-Mar,Hosa Road,3 BHK,1533,3.0,1.0,98.18,4391
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1100,2.0,1.0,68.0,5686
Built-up  Area,Ready To Move,Thubarahalli,3 BHK,1540,3.0,3.0,90.0,5841
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1244,3.0,,48.0,6747
Super built-up  Area,19-Mar,Hosa Road,2 BHK,1040,2.0,1.0,68.59,4391
Built-up  Area,Ready To Move,Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,6 BHK,1034,6.0,2.0,101.0,5997
Super built-up  Area,Ready To Move,Begur Road,2 BHK,1260,2.0,1.0,39.69,12792
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1180,2.0,1.0,41.3,9390
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,1245,2.0,2.0,100.0,5291
Super built-up  Area,Ready To Move,Dollars Colony,3 BHK,1350,3.0,0.0,75.0,10619
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3.0,2.0,56.0,13789
Super built-up  Area,Ready To Move,Alur,1 BHK,470,2.0,1.0,10.0,14893
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,920,2.0,2.0,60.0,6731
Built-up  Area,Ready To Move,Vijay Nagar,6 Bedroom,2300,7.0,0.0,160.0,7687
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1124,2.0,1.0,30.35,14583
Super built-up  Area,19-Sep,Yelahanka New Town,4 BHK,2095,3.0,1.0,109.0,7863
Super built-up  Area,20-Aug,Begur Road,2 BHK,1100,2.0,1.0,71.42,12792
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,1019,2.0,1.0,58.0,6731
Super built-up  Area,Ready To Move,Harlur,3 BHK,1756,3.0,2.0,128.0,12164
Super built-up  Area,18-May,Bommasandra,3 BHK,1280,3.0,1.0,50.0,4698
Plot  Area,Ready To Move,Kenchenahalli,4 Bedroom,1200,3.0,2.0,125.0,4262
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,1700,3.0,2.0,150.0,8893
Super built-up  Area,18-Dec,Whitefield,3 BHK,2134,4.0,2.0,118.0,10265
Super built-up  Area,18-Jun,Hosa Road,2 BHK,1369.1,2.0,1.0,98.0,4391
Plot  Area,Ready To Move,Subramanyapura,3 Bedroom,600,3.0,1.0,69.0,9534
Plot  Area,Ready To Move,Hennur Bande,3 Bedroom,1313,4.0,,150.0,5733
Super built-up  Area,Ready To Move,Carmelaram,3 BHK,2515,4.0,3.0,155.0,14516
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2215,4.0,2.0,154.0,5291
Super built-up  Area,Ready To Move,Basapura,3 BHK,1440,3.0,2.0,72.0,11027
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,1186,2.0,2.0,55.33,11099
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1350,2.0,2.0,47.24,9390
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1800,3.0,2.0,140.0,6747
Built-up  Area,Ready To Move,Kudlu,3 BHK,1600,3.0,3.0,79.0,5184
Built-up  Area,Ready To Move,GM Palaya,2 BHK,1000,2.0,1.0,35.0,5693
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,2275,3.0,3.0,285.0,4190
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,1305,2.0,1.0,59.0,6255
Super built-up  Area,20-Jan,Binny Pete,3 BHK,1740,3.0,1.0,150.0,8555
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,900,2.0,1.0,90.0,11892
Built-up  Area,Ready To Move,Benson Town,2 BHK,1567,3.0,0.0,140.0,13827
Super built-up  Area,Ready To Move,Kambipura,3 BHK,1082,2.0,1.0,45.5,11400
Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,1050,2.0,1.0,80.0,11629
Super built-up  Area,Ready To Move,Atmananda Colony,2 BHK,1200,2.0,1.0,56.0,13361
Built-up  Area,Ready To Move,Begur,3 Bedroom,3500,4.0,2.0,185.0,9530
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1220,2.0,2.0,52.0,9134
Super built-up  Area,18-Apr,Binny Pete,3 BHK,1970,3.0,2.0,164.0,8555
Super built-up  Area,20-Dec,CMH Road,3 BHK,2665,3.0,1.0,350.0,14343
Built-up  Area,Ready To Move,Kanakapura,4 BHK,2130,4.0,0.0,120.0,8911
Super built-up  Area,Ready To Move,Harlur,3 BHK,1749,3.0,2.0,120.0,12164
Super built-up  Area,18-Jun,Subramanyapura,2 BHK,1260,2.0,1.0,108.0,9534
Super built-up  Area,Ready To Move,Doddaballapur,3 BHK,1100Sq. Meter,2.0,1.0,48.0,10172
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1170,2.0,2.0,120.0,5853
Super built-up  Area,Ready To Move,Ankappa Layout,3 BHK,1670,3.0,2.0,75.0,8018
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2264,3.0,2.0,168.0,11099
Super built-up  Area,15-Oct,Byadarahalli,4 BHK,3500,5.0,,450.0,9881
Super built-up  Area,Ready To Move,Begur,2 BHK,1100,2.0,2.0,55.0,9530
Super built-up  Area,18-Dec,Chandapura,2 BHK,674,1.0,1.0,19.9,4161
Super built-up  Area,Ready To Move,Koramangala,2 BHK,1320,2.0,1.0,160.0,11035
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,600,4.0,2.0,85.0,4064
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,1125,2.0,2.0,65.0,4189
Super built-up  Area,Ready To Move,Nagavara,2 BHK,1125,2.0,2.0,44.5,6454
Super built-up  Area,Ready To Move,Baba Nagar,2 BHK,700,2.0,1.0,29.0,14350
Built-up  Area,Ready To Move,BTM Layout,3 BHK,1300,2.0,1.0,75.0,9588
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1600,3.0,2.0,83.0,8413
Super built-up  Area,18-Aug,Magadi Road,3 BHK,1052,2.0,1.0,60.0,9977
Super built-up  Area,Ready To Move,Neelasandra,4 BHK,1140,3.0,1.0,145.0,5970
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,1130,2.0,2.0,36.0,6695
Plot  Area,Ready To Move,Yediyur,4 Bedroom,1140,3.0,2.0,225.0,12389
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,2200,3.0,3.0,220.0,12924
Built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2.0,1.0,63.0,6558
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,1350,3.0,1.0,47.25,14230
Super built-up  Area,Ready To Move,Gottigere,3 BHK,1230,2.0,2.0,52.0,4769
Super built-up  Area,18-Apr,Haralur Road,3 BHK,1520,2.0,2.0,85.0,9486
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,525,1.0,1.0,26.25,13998
Super built-up  Area,20-Oct,Hosa Road,2 BHK,1040,2.0,1.0,61.0,4391
Built-up  Area,Ready To Move,Upadhyaya Layout,3 BHK,1300,2.0,1.0,67.0,9765
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,2690,4.0,3.0,201.0,4466
Super built-up  Area,Ready To Move,Domlur,1 BHK,780,1.0,1.0,70.0,7843
Super built-up  Area,Ready To Move,Panathur,2 BHK,1140,2.0,1.0,51.2,11385
Super built-up  Area,19-Jan,Chandapura,3 BHK,1225,3.0,1.0,33.08,4161
Built-up  Area,Ready To Move,Nagavarapalya,1 BHK,646,1.0,0.0,25.84,11266
Super built-up  Area,Ready To Move,Cox Town,3 BHK,1600,3.0,1.0,150.0,10709
Super built-up  Area,18-Apr,Kadugodi,3 BHK,1890,4.0,3.0,125.0,12529
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2.0,1.0,34.0,12529
Plot  Area,Ready To Move,Ittamadu,6 Bedroom,1200,4.0,2.0,100.0,13888
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1458,2.0,2.0,62.0,10265
Plot  Area,Ready To Move,Naganathapura,5 Bedroom,1200,6.0,0.0,86.0,12716
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1970,3.0,2.0,160.0,4537
Plot  Area,Ready To Move,Whitefield,3 Bedroom,1808,4.0,0.0,80.0,10265
Built-up  Area,Ready To Move,Balagere,2 BHK,1007,2.0,1.0,67.0,14173
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,1105,2.0,1.0,50.0,5528
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,1700,3.0,3.0,150.0,14627
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1170,2.0,3.0,50.0,9311
Built-up  Area,Ready To Move,Chandapura,2 BHK,1080,2.0,3.0,45.0,4161
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,1150,2.0,1.0,62.0,7763
Super built-up  Area,19-Jul,Ramamurthy Nagar,2 BHK,1200,2.0,1.0,57.9,10439
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1200,2.0,1.0,54.0,12154
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1656,3.0,2.0,75.0,12571
Plot  Area,18-Apr,bsk 6th stage 2ad block near sri conversation hall,4 Bedroom,600,4.0,2.0,87.0,14818
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1040,2.0,2.0,50.0,7556
Super built-up  Area,Ready To Move,Hosur Road,2 BHK,1085,2.0,2.0,33.7,11125
Super built-up  Area,18-Apr,Virat Nagar,3 BHK,1215,2.0,2.0,49.75,12989
Built-up  Area,Ready To Move,NRI Layout,4 Bedroom,2150,4.0,2.0,115.0,10002
Plot  Area,Ready To Move,Hoodi,4 Bedroom,1100,4.0,1.0,120.0,4659
Super built-up  Area,18-Feb,Panathur,2 BHK,1210,2.0,1.0,77.0,11385
Built-up  Area,Ready To Move,Kallumantapa,2 BHK,1050,2.0,1.0,55.0,12306
Plot  Area,Ready To Move,"Annapoorneshwari Layout, JP nagar 7th phase",3 Bedroom,600,3.0,1.0,70.0,5202
Super built-up  Area,18-Aug,Iblur Village,3 BHK,1920,3.0,2.0,150.0,9691
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1250,2.0,1.0,50.0,9390
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,947.55,2.0,1.0,80.0,10949
Built-up  Area,Ready To Move,Malleshpalya,2 BHK,1421,2.0,1.0,90.0,4663
Plot  Area,Ready To Move,Mudalpalaya,6 Bedroom,1050,4.0,2.0,155.0,12135
Super built-up  Area,18-May,Old Madras Road,3 BHK,1425,2.0,2.0,74.31,14230
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162,2.0,1.0,58.0,6790
Super built-up  Area,18-Jul,Whitefield,1 BHK,905,1.0,1.0,60.0,10265
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,914,2.0,1.0,32.0,5899
Built-up  Area,18-Apr,elachenahalli,2 BHK,1258,2.0,0.0,58.0,9567
Plot  Area,Ready To Move,CV Raman Nagar,4 Bedroom,1100,4.0,2.0,220.0,12392
Plot  Area,Ready To Move,Hormavu,4 Bedroom,3500,4.0,1.0,289.0,8887
Plot  Area,Ready To Move,Poorna Pragna Layout,7 Bedroom,2400,6.0,,450.0,10665
Built-up  Area,Ready To Move,Ramagondanahalli,4 Bedroom,4200,4.0,,800.0,11849
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1537,2.0,3.0,70.0,10265
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,1230,2.0,2.0,53.51,7005
Plot  Area,Ready To Move,B K Nagar,6 Bedroom,2400,5.0,2.0,300.0,11667
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,2250,3.0,1.0,200.0,11892
Plot  Area,Ready To Move,Hosur Road,4 Bedroom,2000,4.0,1.0,69.0,11125
Super built-up  Area,Ready To Move,Vivek Nagar,8 BHK,3000,4.0,3.0,130.0,9742
Built-up  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,2600,4.0,0.0,325.0,11215
Built-up  Area,16-Sep,Indira Nagar,4 Bedroom,3200,3.0,2.0,250.0,8893
Built-up  Area,Ready To Move,Anjanapura,2 BHK,950,2.0,0.0,32.0,5069
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,4000,4.0,,200.0,9578
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2.0,1.0,48.72,6047
Built-up  Area,18-Apr,Banashankari Stage III,2 BHK,1304,2.0,0.0,111.0,6255
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2100,3.0,2.0,200.0,5685
Built-up  Area,Ready To Move,Jakkur,3 BHK,1220,2.0,2.0,49.0,5306
Super built-up  Area,Ready To Move,Budigere,3 BHK,1636,3.0,2.0,85.0,6790
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1415,3.0,1.0,65.0,5685
Plot  Area,Ready To Move,Bommenahalli,3 Bedroom,15Acres,3.0,1.0,217.0,12867
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,1728,3.0,2.0,125.0,4537
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1680,3.0,3.0,125.0,5685
Super built-up  Area,19-Dec,Venkatapura,2 BHK,1235,2.0,1.0,140.0,13719
Plot  Area,18-May,Yelachenahalli,4 Bedroom,900,2.0,1.0,115.0,4154
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,3990,4.0,1.0,260.0,6047
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1495,2.0,2.0,83.0,7073
Plot  Area,Ready To Move,Hennur Road,5 Bedroom,1500,5.0,1.0,175.0,11099
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2501,3.0,3.0,138.0,9675
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,381,1.0,0.0,28.0,13998
Super built-up  Area,19-Mar,Gopalapura,4 BHK,3301.8,5.0,2.0,570.0,7510
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2002,3.0,2.0,120.0,11099
Built-up  Area,17-Mar,Meenakunte,3 Bedroom,3200,3.0,0.0,260.0,7242
Plot  Area,Ready To Move,Banjara Layout,2 Bedroom,1200,2.0,2.0,70.0,6049
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,1500,3.0,0.0,235.0,5899
Plot  Area,17-Sep,Bommasandra,3 Bedroom,1942,3.0,,90.0,4698
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1450 - 1595,,,60.75,4189
Built-up  Area,Ready To Move,Thyagaraja Nagar,1 Bedroom,660,1.0,0.0,95.0,14150
Plot  Area,Ready To Move,Banashankari Stage III,4 Bedroom,1200,6.0,2.0,170.0,6255
Built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,1450,3.0,2.0,90.0,9232
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1039,2.0,1.0,50.0,6558
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,1210,2.0,1.0,80.0,14230
Super built-up  Area,Ready To Move,Attibele,2 BHK,995,1.0,1.0,24.88,10278
Built-up  Area,Ready To Move,Yelahanka,3 BHK,1620,3.0,2.0,90.0,6047
Built-up  Area,Ready To Move,Choodasandra,3 Bedroom,3204,4.0,3.0,395.0,13874
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,3408,3.0,3.0,260.0,12996
Built-up  Area,Ready To Move,Marathahalli,2 BHK,1314,2.0,3.0,55.0,9578
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,945,2.0,1.0,33.0,6433
Built-up  Area,Ready To Move,Nehru Nagar,3 BHK,1374,3.0,2.0,72.0,13492
Built-up  Area,19-Jan,Kanakpura Road,3 BHK,1603,3.0,3.0,113.0,13998
Built-up  Area,Ready To Move,Kengeri,3 BHK,1230,2.0,2.0,52.0,5184
Super built-up  Area,Ready To Move, Basavangudi,1 RK,670,1.0,1.0,50.0,9788
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1864,3.0,2.0,105.0,5899
Built-up  Area,18-Jan,Hosa Road,3 Bedroom,2500,3.0,2.0,100.0,4391
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,1625,2.0,2.0,54.0,9311
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1186,2.0,3.0,55.0,10265
Plot  Area,Ready To Move,KR Puram,8 Bedroom,1500,7.0,2.0,382.0,7556
Super built-up  Area,Ready To Move,Electronic City,2 BHK,770,1.0,1.0,39.9,6558
Super built-up  Area,18-Feb,Varthur,2 BHK,1085,2.0,1.0,45.0,14233
Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,3754,6.0,2.0,480.0,4301
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,1893,3.0,2.0,115.0,7584
Plot  Area,Ready To Move,Thurahalli,4 Bedroom,600,3.0,2.0,65.0,14966
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,1496,2.0,3.0,78.0,6734
Super built-up  Area,18-Jul,Chandapura,3 BHK,1305,3.0,1.0,33.28,4161
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1550,2.0,2.0,82.0,4189
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,1200,2.0,1.0,58.17,9578
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,1494,2.0,2.0,94.55,11400
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1286,2.0,2.0,69.0,11270
Plot  Area,Ready To Move,"Banashankari 6th stage , 2nd block",3 Bedroom,600,4.0,1.0,100.0,9408
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1860,3.0,2.0,95.0,6747
Built-up  Area,Ready To Move,Raghuvanahalli,1 BHK,425,1.0,1.0,750.0,14948
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1243,2.0,2.0,45.0,9486
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1200,2.0,2.0,75.0,11098
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1044,2.0,2.0,32.0,14583
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2.0,1.0,41.59,5685
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,1125,2.0,2.0,36.94,12684
Super built-up  Area,19-Jul,Cunningham Road,3 BHK,3489,3.0,1.0,662.0,4190
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,1278,2.0,2.0,59.0,9534
Super built-up  Area,Ready To Move,Chelekare,6 BHK,2400,6.0,,98.0,4980
Super built-up  Area,Ready To Move,Belatur,2 BHK,1250,2.0,1.0,43.0,8171
Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,2400,6.0,3.0,125.0,6731
Plot  Area,Ready To Move,KR Puram,5 Bedroom,4166,5.0,,560.0,7556
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,1210,2.0,2.0,75.0,14627
Super built-up  Area,Ready To Move,8th Phase JP Nagar,4 BHK,1200,3.0,2.0,110.0,12684
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,1157,2.0,1.0,57.84,5899
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1185,2.0,1.0,51.15,9311
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1450,3.0,3.0,100.0,14748
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,1859,3.0,2.0,121.0,14230
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,1763,3.0,2.0,262.0,8426
Super built-up  Area,17-Sep,Attibele,2 BHK,900,1.0,1.0,25.0,10278
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3 BHK,1305,3.0,1.0,60.0,10439
Built-up  Area,Ready To Move,Srirampuram,3 BHK,1200,2.0,2.0,100.0,5191
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,763 - 805,1.0,0.0,35.285,7385
Plot  Area,Immediate Possession,Kasavanhalli,,5000,,,400.0,7073
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1150,2.0,0.0,36.8,5899
Built-up  Area,Ready To Move,Whitefield,3 BHK,1806,3.0,3.0,85.0,10265
Super built-up  Area,Ready To Move,Kudlu,2 BHK,1027,2.0,2.0,42.0,5184
Super built-up  Area,19-Jul,Uttarahalli,2 BHK,1002,2.0,1.0,40.08,9390
Super built-up  Area,18-Apr,Electronic City Phase II,3 BHK,1220,2.0,1.0,36.21,11270
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1109,2.0,1.0,35.22,10265
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,1002,2.0,1.0,40.08,9390
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,1308,2.0,1.0,89.04,5707
Super built-up  Area,19-Mar,Hennur Road,2 BHK,1232,2.0,1.0,69.6,11099
Super built-up  Area,18-Apr,Haralur Road,2 BHK,1027,2.0,2.0,44.0,9486
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1250,2.0,2.0,65.0,9116
Plot  Area,Ready To Move,2nd Phase JP Nagar,6 Bedroom,900,6.0,3.0,170.0,9592
Plot  Area,Ready To Move,KR Puram,4 Bedroom,960,4.0,2.0,80.0,7556
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1255,2.0,1.0,53.87,9311
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1434,3.0,3.0,84.0,10863
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,925,2.0,2.0,30.0,5528
Super built-up  Area,19-Dec,Jakkur,3 BHK,1858,3.0,1.0,123.0,5306
Built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1205,2.0,1.0,70.0,12154
Plot  Area,18-Jul,Nelamangala,3 Bedroom,1500,3.0,2.0,90.0,8980
Plot  Area,Ready To Move,Nagawara Junction,3 Bedroom,1200,3.0,2.0,200.0,10881
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,1020,2.0,2.0,48.95,10949
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,965,2.0,1.0,56.0,7385
Plot  Area,Ready To Move,7th Phase JP Nagar,5 Bedroom,1800,6.0,3.0,270.0,5685
Plot  Area,Ready To Move,Hoysalanagar,6 Bedroom,1200,4.0,2.0,90.0,6976
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,1636,2.0,2.0,82.89,5930
Super built-up  Area,18-Dec,Kundalahalli,3 BHK,1724,3.0,1.0,125.0,6734
Super built-up  Area,18-Oct,Whitefield,2 BHK,1216,2.0,1.0,67.0,10265
Super built-up  Area,18-Feb,Yelahanka,1 BHK,654,1.0,1.0,36.25,6047
Built-up  Area,Ready To Move,Chikkabanavar,4 Bedroom,2460,7.0,2.0,80.0,8433
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,1190,2.0,2.0,41.0,9726
Plot  Area,Ready To Move,Tavarekere,7 Bedroom,1200,5.0,2.0,180.0,7373
Super built-up  Area,Ready To Move,Budigere,3 BHK,1636,3.0,2.0,92.0,6790
Super built-up  Area,18-Dec,Hennur Road,2 BHK,1195,2.0,2.0,73.0,11099
Super built-up  Area,Ready To Move,Nagavara,3 BHK,2400,3.0,3.0,251.0,6454
Super built-up  Area,Ready To Move,1st Block HRBR Layout,2 BHK,1250,2.0,1.0,67.0,8452
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1452,3.0,,90.0,10265
Super built-up  Area,19-Dec,Thanisandra,3 BHK,1546,3.0,1.0,95.0,7385
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,3307 - 3464,6.0,0.0,142.0,5899
Plot  Area,Ready To Move,Indira Nagar,3 Bedroom,1440,3.0,1.0,275.0,8893
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,2260,3.0,1.0,80.0,12716
Plot  Area,Ready To Move,Tavarekere,4 Bedroom,2700,3.0,2.0,90.0,7373
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,1475,2.0,2.0,171.0,8893
Built-up  Area,Ready To Move,JP Nagar,4 BHK,3000,3.0,2.0,150.0,8413
Built-up  Area,Ready To Move,KG Halli,1 Bedroom,375,1.0,0.0,26.0,14227
Super built-up  Area,Ready To Move,Balagere,2 BHK,1007,2.0,1.0,66.0,14173
Plot  Area,Ready To Move,Kanakpura Road,1 Bedroom,1.26Acres,1.0,0.0,125.0,13998
Super built-up  Area,Ready To Move,Cubbon Road,4 BHK,5422,6.0,,1900.0,12669
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,1020,2.0,3.0,47.0,11099
Super built-up  Area,Ready To Move,Lavelle Road,2 BHK,1000,2.0,0.0,150.0,8363
Plot  Area,Ready To Move,Varanasi,2 Bedroom,800,3.0,1.0,59.5,8804
Plot  Area,Ready To Move,Geddalahalli,5 Bedroom,1200,3.0,2.0,95.0,13860
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1125,2.0,3.0,55.0,9578
Plot  Area,Ready To Move,Kudlu Gate,9 Bedroom,1150,9.0,,140.0,12571
Built-up  Area,Ready To Move,Kada Agrahara,3 BHK,909,2.0,1.0,43.0,14248
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,2850,5.0,0.0,240.0,10265
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,1400,2.0,3.0,85.0,7584
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1152,2.0,2.0,61.0,12529
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,958,2.0,1.0,34.49,9534
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1150,2.0,2.0,55.0,10265
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,2990,5.0,1.0,173.0,14230
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1310,2.0,2.0,85.0,10396
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,1590,2.0,2.0,126.0,11125
